Frequency Hz,Permittivity,Elec. Cond. (S/m)
100000000000,3.666722772,10.63477662
119800000000,3.478662009,11.40505171
139600000000,3.343039365,12.04866188
159400000000,3.240849799,12.60137687
179200000000,3.161199185,13.0859678
199000000000,3.097424348,13.51772655
218800000000,3.045233928,13.90737332
238600000000,3.001745478,14.26269221
258400000000,2.964954232,14.58950279
278200000000,2.933424338,14.89226409
298000000000,2.906101327,15.17446498
317800000000,2.882193897,15.43888487
337600000000,2.861096941,15.68777294
357400000000,2.842340008,15.92297446
377200000000,2.825551931,16.1460218
397000000000,2.810436023,16.35820125
416800000000,2.796752324,16.56060304
436600000000,2.784304696,16.75415921
456400000000,2.772931268,16.93967286
476200000000,2.762497279,17.11784094
496000000000,2.752889636,17.28927218
515800000000,2.744012732,17.45450143
535600000000,2.735785194,17.61400122
555400000000,2.728137329,17.76819106
575200000000,2.721009104,17.91744521
595000000000,2.714348526,18.0620989
614800000000,2.708110337,18.20245368
634600000000,2.702254964,18.33878177
654400000000,2.696747646,18.4713298
674200000000,2.691557727,18.60032191
694000000000,2.686658066,18.72596243
713800000000,2.682024545,18.84843819
733600000000,2.677635664,18.96792047
753400000000,2.673472187,19.08456665
773200000000,2.669516857,19.19852177
793000000000,2.665754147,19.3099197
812800000000,2.662170044,19.41888435
832600000000,2.658751872,19.52553062
852400000000,2.655488135,19.62996523
872200000000,2.652368382,19.73228751
892000000000,2.649383092,19.83259009
911800000000,2.64652357,19.93095948
931600000000,2.643781862,20.02747658
951400000000,2.641150674,20.12221719
971200000000,2.638623309,20.21525244
991000000000,2.636193604,20.30664914
1010800000000,2.633855877,20.39647015
1030600000000,2.631604883,20.48477468
1050400000000,2.629435772,20.57161856
1070200000000,2.627344051,20.65705452
1090000000000,2.625325556,20.74113241
1109800000000,2.623376414,20.82389939
1129600000000,2.621493027,20.90540015
1149400000000,2.619672042,20.98567705
1169200000000,2.617910333,21.06477031
1189000000000,2.616204981,21.14271815
1208800000000,2.614553257,21.21955688
1228600000000,2.612952608,21.29532111
1248400000000,2.611400642,21.37004377
1268200000000,2.609895115,21.44375627
1288000000000,2.60843392,21.51648858
1307800000000,2.607015078,21.5882693
1327600000000,2.605636727,21.65912577
1347400000000,2.604297111,21.72908414
1367200000000,2.60299458,21.79816942
1387000000000,2.601727573,21.86640557
1406800000000,2.600494619,21.93381554
1426600000000,2.599294326,22.00042133
1446400000000,2.59812538,22.06624406
1466200000000,2.596986536,22.13130398
1486000000000,2.595876614,22.19562057
1505800000000,2.594794497,22.25921252
1525600000000,2.593739124,22.32209783
1545400000000,2.59270949,22.3842938
1565200000000,2.591704638,22.44581708
1585000000000,2.59072366,22.50668372
1604800000000,2.589765691,22.56690917
1624600000000,2.58882991,22.62650835
1644400000000,2.587915532,22.6854956
1664200000000,2.587021811,22.74388481
1684000000000,2.586148036,22.80168935
1703800000000,2.585293527,22.85892216
1723600000000,2.584457636,22.91559572
1743400000000,2.583639745,22.97172211
1763200000000,2.582839261,23.02731299
1783000000000,2.582055618,23.08237966
1802800000000,2.581288277,23.13693304
1822600000000,2.580536718,23.19098372
1842400000000,2.579800446,23.24454193
1862200000000,2.579078986,23.2976176
1882000000000,2.578371882,23.35022035
1901800000000,2.577678697,23.40235949
1921600000000,2.576999014,23.45404408
1941400000000,2.576332429,23.50528288
1961200000000,2.575678557,23.55608439
1981000000000,2.575037026,23.6064569
2000800000000,2.574407481,23.6564084
2020600000000,2.573789578,23.70594671
2040400000000,2.573182989,23.75507938
2060200000000,2.572587396,23.80381379
2080000000000,2.572002494,23.85215707
2099800000000,2.571427989,23.90011619
2119600000000,2.570863598,23.94769791
2139400000000,2.570309048,23.99490881
2159200000000,2.569764077,24.0417553
2179000000000,2.569228432,24.08824362
2198800000000,2.568701866,24.13437985
2218600000000,2.568184146,24.18016988
2238400000000,2.567675043,24.22561949
2258200000000,2.567174336,24.27073429
2278000000000,2.566681815,24.31551975
2297800000000,2.566197274,24.35998121
2317600000000,2.565720513,24.40412386
2337400000000,2.565251343,24.44795279
2357200000000,2.564789577,24.49147293
2377000000000,2.564335037,24.53468913
2396800000000,2.563887548,24.57760608
2416600000000,2.563446944,24.6202284
2436400000000,2.563013061,24.66256057
2456200000000,2.562585742,24.70460698
2476000000000,2.562164834,24.74637192
2495800000000,2.561750191,24.78785957
2515600000000,2.561341669,24.82907401
2535400000000,2.560939129,24.87001926
2555200000000,2.560542436,24.91069921
2575000000000,2.560151461,24.95111768
2594800000000,2.559766077,24.99127841
2614600000000,2.55938616,25.03118505
2634400000000,2.559011593,25.07084117
2654200000000,2.558642258,25.11025027
2674000000000,2.558278044,25.14941578
2693800000000,2.557918842,25.18834103
2713600000000,2.557564546,25.22702931
2733400000000,2.557215052,25.26548383
2753200000000,2.556870261,25.30370772
2773000000000,2.556530075,25.34170405
2792800000000,2.556194401,25.37947586
2812600000000,2.555863145,25.41702608
2832400000000,2.555536219,25.4543576
2852200000000,2.555213535,25.49147327
2872000000000,2.554895009,25.52837585
2891800000000,2.554580559,25.56506807
2911600000000,2.554270104,25.6015526
2931400000000,2.553963566,25.63783206
2951200000000,2.553660869,25.673909
2971000000000,2.55336194,25.70978595
2990800000000,2.553066705,25.74546537
3010600000000,2.552775095,25.78094969
3030400000000,2.552487042,25.81624127
3050200000000,2.552202478,25.85134246
3070000000000,2.551921338,25.88625553
3089800000000,2.55164356,25.92098273
3109600000000,2.551369081,25.95552627
3129400000000,2.55109784,25.98988831
3149200000000,2.55082978,26.02407097
3169000000000,2.550564843,26.05807633
3188800000000,2.550302972,26.09190645
3208600000000,2.550044114,26.12556334
3228400000000,2.549788214,26.15904897
3248200000000,2.549535221,26.19236528
3268000000000,2.549285083,26.22551419
3287800000000,2.549037752,26.25849756
3307600000000,2.548793179,26.29131724
3327400000000,2.548551315,26.32397503
3347200000000,2.548312116,26.35647273
3367000000000,2.548075536,26.38881207
3386800000000,2.547841531,26.42099477
3406600000000,2.547610057,26.45302253
3426400000000,2.547381072,26.48489701
3446200000000,2.547154536,26.51661984
3466000000000,2.546930407,26.54819264
3485800000000,2.546708647,26.57961698
3505600000000,2.546489217,26.61089442
3525400000000,2.546272078,26.64202649
3545200000000,2.546057195,26.6730147
3565000000000,2.545844531,26.70386053
3584800000000,2.545634051,26.73456544
3604600000000,2.54542572,26.76513086
3624400000000,2.545219504,26.7955582
3644200000000,2.545015371,26.82584887
3664000000000,2.544813288,26.85600422
3683800000000,2.544613222,26.88602561
3703600000000,2.544415144,26.91591436
3723400000000,2.544219022,26.94567178
3743200000000,2.544024828,26.97529915
3763000000000,2.543832531,27.00479775
3782800000000,2.543642103,27.03416883
3802600000000,2.543453516,27.0634136
3822400000000,2.543266742,27.09253329
3842200000000,2.543081756,27.12152909
3862000000000,2.542898529,27.15040217
3881800000000,2.542717038,27.1791537
3901600000000,2.542537255,27.2077848
3921400000000,2.542359157,27.23629662
3941200000000,2.542182719,27.26469026
3961000000000,2.542007917,27.29296681
3980800000000,2.541834728,27.32112735
4000600000000,2.541663128,27.34917294
4020400000000,2.541493096,27.37710463
4040200000000,2.541324609,27.40492345
4060000000000,2.541157646,27.43263042
4079800000000,2.540992185,27.46022654
4099600000000,2.540828205,27.48771281
4119400000000,2.540665686,27.51509019
4139200000000,2.540504608,27.54235966
4159000000000,2.540344952,27.56952216
4178800000000,2.540186697,27.59657863
4198600000000,2.540029825,27.62352999
4218400000000,2.539874317,27.65037715
4238200000000,2.539720155,27.67712102
4258000000000,2.539567321,27.70376247
4277800000000,2.539415797,27.7303024
4297600000000,2.539265566,27.75674165
4317400000000,2.539116611,27.78308109
4337200000000,2.538968915,27.80932155
4357000000000,2.538822461,27.83546387
4376800000000,2.538677234,27.86150886
4396600000000,2.538533218,27.88745733
4416400000000,2.538390398,27.91331009
4436200000000,2.538248757,27.93906792
4456000000000,2.53810828,27.9647316
4475800000000,2.537968954,27.9903019
4495600000000,2.537830763,28.01577957
4515400000000,2.537693693,28.04116537
4535200000000,2.537557731,28.06646004
4555000000000,2.537422861,28.09166431
4574800000000,2.537289072,28.11677889
4594600000000,2.537156349,28.14180451
4614400000000,2.537024679,28.16674186
4634200000000,2.536894049,28.19159165
4654000000000,2.536764447,28.21635455
4673800000000,2.53663586,28.24103125
4693600000000,2.536508276,28.26562242
4713400000000,2.536381683,28.29012872
4733200000000,2.536256069,28.31455081
4753000000000,2.536131422,28.33888932
4772800000000,2.536007731,28.36314491
4792600000000,2.535884984,28.3873182
4812400000000,2.53576317,28.41140981
4832200000000,2.535642279,28.43542037
4852000000000,2.535522299,28.45935047
4871800000000,2.53540322,28.48320074
4891600000000,2.535285032,28.50697175
4911400000000,2.535167723,28.5306641
4931200000000,2.535051285,28.55427837
4951000000000,2.534935707,28.57781513
4970800000000,2.534820979,28.60127496
4990600000000,2.534707092,28.62465841
5010400000000,2.534594035,28.64796605
5030200000000,2.5344818,28.67119841
5050000000000,2.534370378,28.69435605
5069800000000,2.534259759,28.71743951
5089600000000,2.534149935,28.7404493
5109400000000,2.534040896,28.76338596
5129200000000,2.533932634,28.78625001
5149000000000,2.533825141,28.80904197
5168800000000,2.533718407,28.83176233
5188600000000,2.533612425,28.8544116
5208400000000,2.533507187,28.87699029
5228200000000,2.533402684,28.89949887
5248000000000,2.533298908,28.92193785
5267800000000,2.533195852,28.94430769
5287600000000,2.533093508,28.96660889
5307400000000,2.532991868,28.98884189
5327200000000,2.532890925,29.01100718
5347000000000,2.532790671,29.03310522
5366800000000,2.5326911,29.05513646
5386600000000,2.532592204,29.07710134
5406400000000,2.532493975,29.09900033
5426200000000,2.532396407,29.12083386
5446000000000,2.532299494,29.14260237
5465800000000,2.532203227,29.16430629
5485600000000,2.532107602,29.18594604
5505400000000,2.53201261,29.20752207
5525200000000,2.531918246,29.22903478
5545000000000,2.531824503,29.25048458
5564800000000,2.531731374,29.2718719
5584600000000,2.531638854,29.29319714
5604400000000,2.531546937,29.3144607
5624200000000,2.531455616,29.33566298
5644000000000,2.531364885,29.35680437
5663800000000,2.531274739,29.37788528
5683600000000,2.531185171,29.39890607
5703400000000,2.531096176,29.41986714
5723200000000,2.531007749,29.44076887
5743000000000,2.530919883,29.46161163
5762800000000,2.530832573,29.4823958
5782600000000,2.530745813,29.50312174
5802400000000,2.530659599,29.52378981
5822200000000,2.530573926,29.54440039
5842000000000,2.530488786,29.56495382
5861800000000,2.530404177,29.58545047
5881600000000,2.530320092,29.60589068
5901400000000,2.530236526,29.62627479
5921200000000,2.530153475,29.64660317
5941000000000,2.530070933,29.66687614
5960800000000,2.529988896,29.68709404
5980600000000,2.52990736,29.70725721
6000400000000,2.529826318,29.72736598
6020200000000,2.529745767,29.74742068
6040000000000,2.529665702,29.76742163
6059800000000,2.529586119,29.78736916
6079600000000,2.529507012,29.80726358
6099400000000,2.529428379,29.82710522
6119200000000,2.529350213,29.84689437
6139000000000,2.529272512,29.86663137
6158800000000,2.52919527,29.88631651
6178600000000,2.529118483,29.90595009
6198400000000,2.529042148,29.92553243
6218200000000,2.52896626,29.94506382
6238000000000,2.528890815,29.96454455
6257800000000,2.528815809,29.98397492
6277600000000,2.528741238,30.00335523
6297400000000,2.528667099,30.02268575
6317200000000,2.528593387,30.04196678
6337000000000,2.528520099,30.0611986
6356800000000,2.52844723,30.0803815
6376600000000,2.528374778,30.09951574
6396400000000,2.528302738,30.11860161
6416200000000,2.528231107,30.13763937
6436000000000,2.528159881,30.15662931
6455800000000,2.528089056,30.17557169
6475600000000,2.52801863,30.19446678
6495400000000,2.527948599,30.21331483
6515200000000,2.527878958,30.23211612
6535000000000,2.527809706,30.25087091
6554800000000,2.527740838,30.26957944
6574600000000,2.527672352,30.28824198
6594400000000,2.527604243,30.30685877
6614200000000,2.527536509,30.32543008
6634000000000,2.527469147,30.34395614
6653800000000,2.527402153,30.36243721
6673600000000,2.527335525,30.38087353
6693400000000,2.527269258,30.39926534
6713200000000,2.527203351,30.41761289
6733000000000,2.5271378,30.4359164
6752800000000,2.527072602,30.45417613
6772600000000,2.527007754,30.47239229
6792400000000,2.526943254,30.49056513
6812200000000,2.526879098,30.50869488
6832000000000,2.526815283,30.52678176
6851800000000,2.526751807,30.544826
6871600000000,2.526688668,30.56282783
6891400000000,2.526625861,30.58078747
6911200000000,2.526563385,30.59870514
6931000000000,2.526501237,30.61658107
6950800000000,2.526439414,30.63441546
6970600000000,2.526377913,30.65220853
6990400000000,2.526316733,30.6699605
7010200000000,2.526255869,30.68767159
7030000000000,2.526195321,30.705342
7049800000000,2.526135085,30.72297194
7069600000000,2.526075158,30.74056161
7089400000000,2.526015539,30.75811124
7109200000000,2.525956225,30.77562101
7129000000000,2.525897213,30.79309113
7148800000000,2.525838501,30.81052181
7168600000000,2.525780087,30.82791324
7188400000000,2.525721968,30.84526562
7208200000000,2.525664143,30.86257915
7228000000000,2.525606608,30.87985402
7247800000000,2.525549361,30.89709042
7267600000000,2.525492401,30.91428855
7287400000000,2.525435725,30.93144859
7307200000000,2.525379331,30.94857075
7327000000000,2.525323216,30.96565519
7346800000000,2.525267379,30.98270212
7366600000000,2.525211818,30.9997117
7386400000000,2.525156529,31.01668414
7406200000000,2.525101512,31.0336196
7426000000000,2.525046764,31.05051828
7445800000000,2.524992283,31.06738034
7465600000000,2.524938068,31.08420596
7485400000000,2.524884115,31.10099533
7505200000000,2.524830423,31.11774862
7525000000000,2.524776991,31.13446599
7544800000000,2.524723816,31.15114763
7564600000000,2.524670896,31.1677937
7584400000000,2.52461823,31.18440438
7604200000000,2.524565815,31.20097983
7624000000000,2.52451365,31.21752022
7643800000000,2.524461733,31.23402572
7663600000000,2.524410061,31.25049648
7683400000000,2.524358634,31.26693268
7703200000000,2.52430745,31.28333448
7723000000000,2.524256506,31.29970204
7742800000000,2.524205801,31.31603552
7762600000000,2.524155333,31.33233507
7782400000000,2.5241051,31.34860086
7802200000000,2.524055101,31.36483304
7822000000000,2.524005335,31.38103177
7841800000000,2.523955798,31.3971972
7861600000000,2.523906491,31.41332948
7881400000000,2.52385741,31.42942877
7901200000000,2.523808555,31.44549523
7921000000000,2.523759924,31.46152899
7940800000000,2.523711515,31.47753021
7960600000000,2.523663327,31.49349903
7980400000000,2.523615358,31.50943561
8000200000000,2.523567607,31.52534008
8020000000000,2.523520072,31.5412126
8039800000000,2.523472751,31.55705331
8059600000000,2.523425643,31.57286235
8079400000000,2.523378747,31.58863986
8099200000000,2.523332061,31.60438598
8119000000000,2.523285584,31.62010085
8138800000000,2.523239314,31.63578462
8158600000000,2.52319325,31.65143742
8178400000000,2.52314739,31.66705938
8198200000000,2.523101733,31.68265065
8218000000000,2.523056277,31.69821135
8237800000000,2.523011022,31.71374163
8257600000000,2.522965966,31.72924161
8277400000000,2.522921107,31.74471143
8297200000000,2.522876444,31.76015122
8317000000000,2.522831976,31.77556111
8336800000000,2.522787701,31.79094123
8356600000000,2.522743619,31.80629171
8376400000000,2.522699727,31.82161267
8396200000000,2.522656026,31.83690425
8416000000000,2.522612512,31.85216657
8435800000000,2.522569185,31.86739976
8455600000000,2.522526045,31.88260393
8475400000000,2.522483089,31.89777922
8495200000000,2.522440316,31.91292575
8515000000000,2.522397726,31.92804363
8534800000000,2.522355316,31.943133
8554600000000,2.522313086,31.95819397
8574400000000,2.522271035,31.97322665
8594200000000,2.522229161,31.98823118
8614000000000,2.522187464,32.00320767
8633800000000,2.522145941,32.01815623
8653600000000,2.522104593,32.03307699
8673400000000,2.522063417,32.04797005
8693200000000,2.522022413,32.06283553
8713000000000,2.52198158,32.07767356
8732800000000,2.521940916,32.09248423
8752600000000,2.52190042,32.10726767
8772400000000,2.521860092,32.12202399
8792200000000,2.521819931,32.13675329
8812000000000,2.521779934,32.1514557
8831800000000,2.521740101,32.16613131
8851600000000,2.521700432,32.18078024
8871400000000,2.521660925,32.1954026
8891200000000,2.521621579,32.20999849
8911000000000,2.521582392,32.22456803
8930800000000,2.521543365,32.23911131
8950600000000,2.521504496,32.25362845
8970400000000,2.521465784,32.26811956
8990200000000,2.521427228,32.28258472
9010000000000,2.521388827,32.29702406
9029800000000,2.52135058,32.31143767
9049600000000,2.521312486,32.32582566
9069400000000,2.521274544,32.34018812
9089200000000,2.521236754,32.35452516
9109000000000,2.521199114,32.36883688
9128800000000,2.521161623,32.38312338
9148600000000,2.521124281,32.39738477
9168400000000,2.521087087,32.41162113
9188200000000,2.521050039,32.42583256
9208000000000,2.521013137,32.44001918
9227800000000,2.520976379,32.45418106
9247600000000,2.520939766,32.46831832
9267400000000,2.520903296,32.48243104
9287200000000,2.520866968,32.49651932
9307000000000,2.520830781,32.51058325
9326800000000,2.520794735,32.52462293
9346600000000,2.520758829,32.53863846
9366400000000,2.520723061,32.55262993
9386200000000,2.520687432,32.56659742
9406000000000,2.52065194,32.58054103
9425800000000,2.520616584,32.59446086
9445600000000,2.520581363,32.60835699
9465400000000,2.520546278,32.62222951
9485200000000,2.520511326,32.63607852
9505000000000,2.520476508,32.6499041
9524800000000,2.520441822,32.66370635
9544600000000,2.520407267,32.67748534
9564400000000,2.520372843,32.69124117
9584200000000,2.52033855,32.70497393
9604000000000,2.520304386,32.7186837
9623800000000,2.52027035,32.73237057
9643600000000,2.520236442,32.74603462
9663400000000,2.520202661,32.75967594
9683200000000,2.520169006,32.77329462
9703000000000,2.520135477,32.78689073
9722800000000,2.520102073,32.80046437
9742600000000,2.520068793,32.81401561
9762400000000,2.520035636,32.82754455
9782200000000,2.520002602,32.84105125
9802000000000,2.51996969,32.8545358
9821800000000,2.5199369,32.86799829
9841600000000,2.51990423,32.8814388
9861400000000,2.51987168,32.8948574
9881200000000,2.519839249,32.90825418
9901000000000,2.519806936,32.92162921
9920800000000,2.519774742,32.93498258
9940600000000,2.519742665,32.94831435
9960400000000,2.519710704,32.96162463
9980200000000,2.519678859,32.97491347
10000000000000,2.51964713,32.98818095